expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,ium
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,12,5,CILINDRO EN ACERO INOXIDABLE X 5 METROS CUBICOS,Activo,01/30/2007,,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,OXIGENOS DE COLOMBIA LTDA.,FABRICANTE,FABRICAR Y VENDER,
19937585,SEAMIB®,BIOQUIFAR PHARMACEUTICA S.A.,INVIMA 2020M-0002639-R2,08/01/2003 12:00:00 AM,03/26/2020 12:00:00 AM,En tramite renov,19937585,8,2,MUESTRA MÉDICA: CAJA X 2 TABLETAS. EN BLÍSTER PVC TRANSPARENTE/ALUMINIO X 2 TABLETAS,Activo,11/12/2013,,Si,U,P01AB07,SECNIDAZOL,ORAL,A,SECNIDAZOL,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER,
55669,LANSOPEP® CAPSULAS,PROCAPS S.A.,INVIMA 2021M-000336-R3,05/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,55669,23,60,CAJA X 60 CÁPSULAS EN BLISTER ALUMINIO / PVC EN SOBRE PAPEL POUCH,Activo,07/13/2018,04/01/2021,No,U,A02BC03,LANSOPRAZOL,ORAL,A,LANSOPRAZOL,mg,30,CADA CAPSULA,CAPSULA DURA,PROCAPS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,58,650,TANQUE PALLET X 650 LITROS.,Activo,07/09/2015,,No,l,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,MESSER COLOMBIA S.A. (PLANTA ASU BOGOTÁ),FABRICANTE,FABRICAR Y VENDER,
20014360,AVALPRIC® JARABE,BIOQUIFAR PHARMACEUTICA S.A.,INVIMA 2020M-0010596-R1,03/26/2010 12:00:00 AM,04/06/2020 12:00:00 AM,En tramite renov,20014360,4,120,CAJA CON UN FRASCO PET AMBAR POR 120 ML,Activo,03/04/2010,,No,ml,N03AG01,VALPROICO ACIDO,ORAL,B,VALPROATO DE SODIO EQUIVALENTE A ÁCIDO VALPROICO,g,5,100 ML DE JARABE,JARABE,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER,
50589,OXIGENO MEDICINAL,MESSER COLOMBIA S.A.,INVIMA 2021M-006366-R4,06/08/1995 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,50589,41,23,CILINDRO EN ACERO INOXIDABLE X 23 METROS CUBICOS,Activo,09/02/2013,,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO,%,99,METRO CUBICO,GAS,OXIGENOS DE COLOMBIA LTDA.,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,16,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 2.0M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXIGENOS DEL LLANO S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,13,90,CAJA X 90 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,20,7,MUESTRA MEDICA CAJA X 7 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO POR 7 CAPSULAS,Activo,12/05/2011,10/01/2021,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20066808,DERPROSOL® CREMA,ALPHALAB SAS,INVIMA 2020M-0015292-R1,09/26/2014 12:00:00 AM,10/29/2019 12:00:00 AM,En tramite renov,20066808,1,1,CAJA PLEGADIZA X 1 TUBO LAMINADO DE CREMA X 15 G,Activo,04/23/2014,,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,CLOBETASOL PROPIONATO,g,0.05,100 G DE CREMA,CREMA TOPICA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20066808,DERPROSOL® CREMA,ALPHALAB SAS,INVIMA 2020M-0015292-R1,09/26/2014 12:00:00 AM,10/29/2019 12:00:00 AM,En tramite renov,20066808,2,1,CAJA PLEGADIZA X 1 TUBO LAMINADO DE CREMA X 20 G,Activo,04/23/2014,,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,CLOBETASOL PROPIONATO,g,0.05,100 G DE CREMA,CREMA TOPICA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20066808,DERPROSOL® CREMA,ALPHALAB SAS,INVIMA 2020M-0015292-R1,09/26/2014 12:00:00 AM,10/29/2019 12:00:00 AM,En tramite renov,20066808,3,1,CAJA PLEGADIZA X 1 TUBO LAMINADO DE CREMA X 30 G,Activo,04/23/2014,,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,CLOBETASOL PROPIONATO,g,0.05,100 G DE CREMA,CREMA TOPICA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20066808,DERPROSOL® CREMA,ALPHALAB SAS,INVIMA 2020M-0015292-R1,09/26/2014 12:00:00 AM,10/29/2019 12:00:00 AM,En tramite renov,20066808,4,1,CAJA PLEGADIZA X 1 TUBO LAMINADO DE CREMA X 40 G,Activo,04/23/2014,,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,CLOBETASOL PROPIONATO,g,0.05,100 G DE CREMA,CREMA TOPICA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,22,3,MUESTRA MEDICA CAJA DE CARTÓN X 3SIN DATOCÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 3 CÁPSULAS,Activo,12/24/2014,10/01/2021,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20104517,OXIGENO MEDICINAL.,OXIGENOS DEL LLANO S.A.S.,INVIMA 2021M-0017107-R1,06/20/2016 12:00:00 AM,09/09/2026 12:00:00 AM,En tramite renov,20104517,25,1,OXIGENO GASEOSO MEDICINAL: CILINDROS DE ACERO CON CAPACIDAD DE 7.0M3,Activo,06/16/2016,,No,U,V03AN01,OXIGENO,INHALACION,D,OXIGENOV/V,%,99,CILINDRO,GAS,OXISALUD S.A.S.,FABRICANTE,FABRICAR Y VENDER,
19907058,METAMIZOL SODICO( DIPIRONA)1G / 2MLSOLUCIÓNINYECTABLE,LABORATORIOS SANDERSON S.A.,INVIMA 2016M-14233-R1,03/17/2000 12:00:00 AM,01/01/3000 12:00:00 AM,En tramite renov,19907058,1,1,CAJA POR 1 AMPOLLA DE 2 ML. CAJA DE CARTON CORRUGADA AMPOLLA DE VIDRIO CLASE HIDROLITICA I. COLOR AMBAR. EN LECHO DE CARTON,Activo,11/10/2006,,No,U,N02BB02,METAMIZOL SODIO,INTRAMUSCULAR,A,METAMIZOL SODICO MONOHIDRATO1054MG EQUIVALENTE A METAMIZOL SODICO (DIPIRONA),mg,1000,CADA AMPOLLA2 ML DE SOLUCIÓNINYECTABLE,SOLUCION INYECTABLE,LABORATORIOS MEDIFARMA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
20016210,ALGINACID® SUSPENSION,LABQUIFAR LTDA.,INVIMA 2021M-0011294-R2,09/07/2010 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20016210,2,360,FRASCO PLÁSTICO PEAD BLANCO POR 360 ML.,Activo,05/14/2010,04/01/2021,No,ml,A02AB01,HIDROXIDO DE ALUMINIO,ORAL,B,HIDROXIDO DE ALUMINIO GEL 14 % 4.5 G. EQUIVALENTES A HIDRÓXIDO DE ALUMINIO,g,0.63,100 ML SUSPENSION,SUSPENSION ORAL,SERVICIO TECNICO GONHER FARMACEUTICA LTDA.,FABRICANTE,FABRICAR Y VENDER,
20086950,CARVEDILOL 12.5 MG TABLETA RECUBIERTA.,LABORATORIOS LA SANTÉ S.A.,INVIMA 2016M-0017066,05/18/2016 12:00:00 AM,01/01/3000 12:00:00 AM,En tramite renov,20086950,4,60,CAJA POR 60 TABLETAS RECUBIERTAS EN BLÍSTER TRIFLEX II (PP/AL/PVC/PVDC)/ALUMINIO.,Activo,04/23/2015,,No,U,C07AG02,CARVEDILOL,ORAL,A,CARVEDILOL,mg,12.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS LA SANTÉ S.A.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,10,60,CAJA X 60 CAPSULAS EN BLISTER ALUMINIO / PVC INCOLORO,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20010551,BUDEMAR DUO® FORMOTEROL FUMARATO 6 MCG + BUDESONIDA 100 MCG,CIPLA LIMITED,INVIMA 2020M-0010760-R1,05/03/2010 12:00:00 AM,04/30/2025 12:00:00 AM,En tramite renov,20010551,4,1,CAJA POR 1SIN DATOINHALADOR X 120 DOSIS,Activo,07/29/2015,,No,U,R03AK07,FORMOTEROL Y BUDENOSINA,INHALACION,A,BUDESONIDA,microgramos,100,CADA DOSIS LIBERA,SUSPENSION PARA INHALACION,CIPLA COLOMBIA SAS,IMPORTADOR,IMPORTAR Y VENDER,
226424,AKATINOL ®10 MG TABLETAS RECUBIERTAS,MERZ PHARMACEUTICALS GMBH,INVIMA 2020 M-14124 R2,01/01/1999 12:00:00 AM,03/02/2020 12:00:00 AM,En tramite renov,226424,7,7,USO INSTITUCIONAL:CAJA POR 7 TABLETAS RECUBIERTAS EN BLISTER PP/ALUMINIO,Inactivo,04/14/2015,,No,U,N06DX01,MEMANTINA,ORAL,A,MEMANTINA CLORHIDRATO,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,CADI ASESORES S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
20017916,CONTUMAX® POLVO,ASOFARMA DE MEXICO S.A. DE C.V.,INVIMA 2021M-0011380-R2,09/22/2010 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20017916,2,1,MUETRA MEDICA: CAJA X 1 SOBRE DE 17 G,Activo,07/13/2011,,Si,U,A06AD15,MACROGOL,ORAL,D,POLIETILENGLICOL 3350,g,100,100G,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,ADIUM S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,6,5,MUESTRA MEDICA CAJA DE CARTÓN X 5SIN DATOCÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 5 CÁPSULAS,Activo,04/28/2010,08/06/2010,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20022570,OLMETECANLO® 20 MG / 5 MG,PFIZER S.A.S.,INVIMA 2023M-0012216-R2,05/24/2011 12:00:00 AM,11/08/2021 12:00:00 AM,En tramite renov,20022570,16,20,MUESTRA MEDICA CAJA POR 20 TABLETAS RECUBIERTAS EN BLISTER ALUMINIO7ALUMINIO.,Activo,09/21/2012,,Si,U,C09CA08,OLMESARTAN MEDOXIMIL,ORAL,A,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO,mg,5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,2A1025191001117
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,14,50,CAJA DE CARTÓN XSIN DATO50 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 10 CÁPSULAS.,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20009221,LUMTIL®,PROCAPS S.A.,INVIMA 2020M-0010603-R1,03/30/2010 12:00:00 AM,10/01/2020 12:00:00 AM,En tramite renov,20009221,1,1,CAJA CON 1 TUBO COLAPSIBLE X 10 G MAS 1 APLICADOR.,Activo,09/22/2009,,No,U,G01AF02,CLOTRIMAZOL,VAGINAL,D,CLINDAMICINA FOSFATO (EQUIVALENTE A CLINDAMICINA BASE),g,2,100 GRAMOS DE CREMA,CREMA VAGINAL,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
19907058,METAMIZOL SODICO( DIPIRONA)1G / 2MLSOLUCIÓNINYECTABLE,LABORATORIOS SANDERSON S.A.,INVIMA 2016M-14233-R1,03/17/2000 12:00:00 AM,01/01/3000 12:00:00 AM,En tramite renov,19907058,2,100,CAJA POR 100 AMPOLLAS DE VIDRIO TIPO I AMBAR POR 2ML CADA UNA.,Activo,11/10/2006,,No,U,N02BB02,METAMIZOL SODIO,INTRAMUSCULAR,A,METAMIZOL SODICO MONOHIDRATO1054MG EQUIVALENTE A METAMIZOL SODICO (DIPIRONA),mg,1000,CADA AMPOLLA2 ML DE SOLUCIÓNINYECTABLE,SOLUCION INYECTABLE,LABORATORIOS MEDIFARMA S.A.S,IMPORTADOR,IMPORTAR Y VENDER,
20099372,HENOCLOX ®,JOINPHARM S.A.S,INVIMA 2021M-0016896-R1,03/04/2016 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20099372,6,100,CAJA PLEGADIZA CON 10 BLISTER PVC TRANSPARENTE /ALUMINIO POR 10 TABLETAS C/U.,Activo,03/02/2016,,No,U,M01AC06,MELOXICAM,ORAL,A,MELOXICAM,mg,15,TABLETA,TABLETA,NUTRI MACK S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015296,RITARIN®,COLMED LTDA,INVIMA 2021M-0011266-R2,08/27/2010 12:00:00 AM,04/01/2021 12:00:00 AM,En tramite renov,20015296,1,10,CAJA POR 10 CAPSULAS EN BLISTER ALUMINIO/PVDC. POR 10 CAPSULAS CADA BLISTER.,Activo,03/18/2010,,No,U,R05XX99,PREPARACIONES DE OTRAS COMBINACIONES PARA EL RESFRIADO COMÚN,ORAL,A,IBUPROFENO,mg,400,CAPSULA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
20070926,AVANTIUM 6 MG TABLETAS,NEVOX FARMA S.A.S.,INVIMA 2020M-0015581-R1,12/18/2014 12:00:00 AM,01/28/2020 12:00:00 AM,En tramite renov,20070926,11,1,MUESTRA MEDICA: CAJA PLEGADIZA CONSIN DATOBLISTER PVC/PVDC /ALU TRANSPARENTE POR 2 TABLETAS.,Activo,07/03/2014,,Si,U,H02AB13,DEFLAZACORT,ORAL,A,DEFLAZACORT,mg,6,TABLETA,TABLETA,LABORATORIOS LEGRAND S.A.,FABRICANTE,FABRICAR Y VENDER,
20015394,ATTENTHO® 40 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011312-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015394,9,5,MUESTRA MEDICA CAJA X 5 CAPSULAS EN BLISTER ALUMINIO /PVC INCOLORO POR 5 CAPSULAS,Activo,03/07/2011,10/01/2021,Si,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO 45.71MG EQUIVALENTE A ATOMOXETINA BASE,mg,40,CÁPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,19,200,CAJA DE CARTÓN XSIN DATO200 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 10 CÁPSULAS.,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
20015465,ATTENTHO®25 MG CAPSULAS,LABORATORIO FRANCO COLOMBIANO - LAFRANCOL S.A.S.,INVIMA 2016M-0011318-R1,09/09/2010 12:00:00 AM,10/01/3000 12:00:00 AM,En tramite renov,20015465,11,7,CAJA DE CARTÓN X 7 CÁPSULAS EN BLISTER ALUMINIO / PVC INCOLORO X 7SIN DATOCÁPSULAS,Activo,12/05/2011,10/01/2021,No,U,N06BA09,ATOMOXETINA,ORAL,A,ATOMOXETINA CLORHIDRATO EQUIVALENTE A ATOMOXETINA BASE,mg,25,CAPSULA,CAPSULA DURA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER,
